[UBM96] 3L                           12.9986 27.8567
GMP 3617                             12.9877 28.0192
[EDG2007] 642                        12.9877 28.0169
[EDG2007] 573                        12.9998 27.8593
[APD2000] J125956.5+280618           12.999 28.105
[CTM2010] 102885                     13.0056 28.0339
SPS J130016.01+275405.5              13.0044 27.9015
[CTM2010] 161594                     13.0064 27.9969
GMP 2808                             13.0047 27.9042
[UBM96] 6                            12.9965 27.8519
GMP 2848                             13.0039 28.0687
GMP 3180                             12.996 27.8522
GMP 3649                             12.9872 27.9628
[EDG2007] 564                        12.9995 27.8555
[EDG2007] 34                         12.9871 27.9759
GMP 3562                             12.9888 27.9054
SDSS J125939.47+275116.5             12.9943 27.8546
[CTM2010] 90680                      13.0063 28.0157
GMP 3642                             12.9874 27.9411
[EDG2007] 419                        12.994 27.8544
GMP 3293                             12.9938 28.1061
[EDG2007] 582                        12.9879 27.9226
GMP 2693                             13.0068 27.9892
[CTM2010] 32265                      13.0049 28.0596
[EDG2007] 230                        13.0043 28.0701
[EDG2007] 735                        12.9876 27.9259
GMP 2872                             13.0033 28.0844
MCG+05-31-063                        12.989 28.0661
[APS2006] 46994                      13.0033 28.0851
GMP 2925                             13.0021 28.0964
GMP 2730                             13.0061 28.0393
GMP 3365                             12.9925 27.8574
[EDG2007] 436                        12.9867 27.9579
[EDG2007] 575                        12.9866 27.9982
[CG99] SA1656-72                     13.0061 28.0417
GMP 3227                             12.995 28.1153
[EDG2007] 602                        12.9972 27.8432
[RB67] 143                           12.9917 28.1
GMP 3650                             12.9872 28.0328
[EDG2007] 391                        13.0073 27.97
[EDG2007] 375                        12.9876 28.046
GMP 2919                             13.0022 28.0995
[CTM2010] 232063                     13.007 27.9439
[CTM2010] 230000                     13.0063 27.921
[CTM2010] 231908                     13.0064 27.9209
GMP 3651                             12.9872 28.0372
[UBM96] 16                           12.9919 27.8575
[CTM2010] 162819                     13.0073 27.9605
GMP 2672                             13.0074 27.9981
[EDG2007] 566                        12.9912 27.8621
[CG99] SA1656-70                     13.0036 28.0889
[EDG2007] 307                        12.9886 28.0685
[CG99] SA1656-63                     13.0021 27.8583
GMP 2694                             13.0069 27.9319
[EDG2007] 371                        12.9966 27.8385
[UBM96] 7                            12.9961 27.8385
[CG99] SA1656-15                     12.9861 27.975
[EDG2007] 203                        13.0029 27.8623
GMP 3239                             12.9947 28.1203
[CTM2010] 32910                      13.0059 28.0575
[EDG2007] 258                        12.9866 27.9373
SDSS J125932.49+275102.4             12.9924 27.8507
GMP 3698                             12.9861 27.9756
GMP 2655                             13.0077 27.9878
[EDG2007] 401                        12.9868 28.035
[APD2000] J130015.1+280512           13.0042 28.0869
[UBM96] 12                           12.9934 27.844
GMP 3693                             12.9861 27.9544
GMP 3577                             12.9884 27.8894
[EDG2007] 606                        12.9992 27.8392
[CTM2010] 91543                      13.0076 28.0095
[EDG2007] 731                        12.9976 27.8358
[EDG2007] 605                        12.988 27.8951
[CTM2010] 32410                      13.0054 28.0729
GMP 3686                             12.9863 28.0206
[EDG2007] 737                        12.9965 27.8349
GMP 2707                             13.0065 28.0505
GMP 3674                             12.9867 27.9242
[EDG2007] 299                        12.9867 27.9229
[CTM2010] 162881                     13.0079 27.9831
[CG99] SA1656-78                     13.0075 28.0222
[APD2000] J130012.3+280557           13.0034 28.0993
[EDG2007] 684                        13.008 27.9942
[EDG2007] 511                        12.9978 27.8332
[CTM2010] 32751                      13.0057 28.071
GMP 3612                             12.9879 27.8914
GMP 3653                             12.9872 27.9058
GMP 2641                             13.0081 27.9906
GMP 3725                             12.9857 27.9703
[APD2000] J130019.9+280432           13.0055 28.0759
GMP 3338                             12.9931 28.1219
GMP 3685                             12.9864 28.0383
GMP 3721                             12.9858 27.9483
[EDG2007] 525                        13.0075 27.9284
[EDG2007] 267                        13.0056 27.8844
[CTM2010] 163240                     13.0083 27.9686
[UBM96] 8                            12.9957 27.8298
[CTM2010] 163341                     13.0082 27.9555
[EDG2007] 235                        12.9973 27.8288
[EDG2007] 672                        13.0048 27.8704
[UBM96] 8L                           12.9967 27.8281
GMP 2827                             13.0043 28.0975
[CG99] SA1656-56                     12.9965 27.8269
[EDG2007] 641                        12.9915 27.8439
[EDG2007] 395                        12.9877 27.8861
GMP 2677                             13.0073 28.0492
[EDG2007] 698                        12.9907 27.8488
[UBM96] 14L                          12.9926 27.8364
[CTM2010] 20411                      13.0068 28.0619
[CTM2010] 163400                     13.0086 27.9744
[CTM2010] 32799                      13.0061 28.0782
[EDG2007] 297                        12.9853 27.9516
[CTM2010] 232587                     13.0075 27.9148
GMP 3751                             12.9852 27.9597
GMP 3333                             12.9931 28.1292
GMP 3401                             12.9919 28.1225
[CG99] SA1656-60                     12.9979 27.8236
[CTM2010] 1045724                    13.0083 28.0268
[TM98] A                             13.0075 28.0538
[HVH2010] Comai J130030.027+280135.0813.0083 28.0264
[UBM96] 15                           12.9926 27.8319
[EDG2007] 328                        13.0071 27.8987
GMP 2920                             13.0022 28.1228
GMP 2679                             13.0072 28.0625
Anon J130032+2758                    13.0089 27.9781
[APD2000] J125957.8+280814           12.9993 28.1367
[EDG2007] 568                        13.0025 27.8398
[HVH2010] Comai J130025.977+280344.6813.0072 28.0624
[UBM96] 1L                           13.0002 27.8267
GMP 2978                             13.0011 28.1306
GMP 3409                             12.9916 28.1253
GMP 2616                             13.009 27.9758
GMP 2622                             13.0088 27.9531
GMP 3518                             12.9896 28.1094
GMP 3167                             12.9964 27.8191
[CTM2010] 163575                     13.0091 27.9863
[CTM2010] 92415                      13.009 28.0035
[TM98] D                             13.0079 28.0517
GMP 2660                             13.0077 28.0567
[EDG2007] 497                        12.9989 27.8201
[CG99] SA1656-73                     13.0074 28.0667
[CTM2010] 160003                     13.0092 27.9956
[EDG2007] 501                        13.0092 27.9798
[CTM2010] 92156                      13.0088 28.0227
[UBM96] 18L                          12.9915 27.8328
GMP 3506                             12.9899 27.8447
[UBM96] 18                           12.9912 27.8336
GMP 2710                             13.0064 27.8736
[EDG2007] 388                        13.0093 27.9906
[EDG2007] 503                        12.9929 27.8235
GMP 3446                             12.9911 28.1281
[EDG2007] 514                        13.0076 27.8943
GMP 3802                             12.9843 27.966
