C.D.S.  -  SIMBAD4 rel 1.6  -  2018.05.15CEST23:05:36

coord 12 59 48.7  +27 58 50 (ICRS, J2000, 2000), radius: 8 deg
--------------------------------------------------------------

Number of objects : 10000  (truncated to 10000 objects)

  #  |dist(asec)|             identifier              |typ|  coord1 (ICRS,J2000/2000)   |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
-----|----------|-------------------------------------|---|-----------------------------|------|------|------|------|------|---------------|----|----
76   |    136.83|[MGH2010] J125938.51+275827.6        |G? |12 59 38.51 +27 58 27.6      |     ~|     ~|     ~|     ~|24.22 |~              |   1|   0
77   |    140.11|2MASX J12593827+2759137              |GiC|12 59 38.276 +27 59 13.79    |17.19 |17.13 |15.88 |15.651|15.002|~              |  28|   0
78   |    140.34|[CTM2010] 1039188                    |G  |12 59 41.1987 +27 57 10.907  |     ~|     ~|     ~|21.97 |22.10 |~              |   4|   0
79   |    140.41|[MGH2010] J125938.73+275937.7        |G? |12 59 38.73 +27 59 37.7      |     ~|     ~|     ~|     ~|23.05 |~              |   1|   0
80   |    140.73|[MGH2010] J125939.22+275746.5        |G? |12 59 39.22 +27 57 46.5      |     ~|     ~|     ~|     ~|21.62 |~              |   1|   0
81   |    140.79|[CTM2010] 1040263                    |G  |12 59 58.5095 +27 57 55.820  |     ~|     ~|     ~|22.91 |22.81 |~              |   1|   0
82   |    141.26|[MGH2010] J125939.22+275954.7        |G? |12 59 39.22 +27 59 54.7      |     ~|21.33 |     ~|     ~|19.76 |~              |   3|   0
83   |    142.91|[ASD2005] 1                          |GiC|12 59 38.097 +27 58 23.67    |     ~|     ~|14.91 |24.48 |23.54 |~              |   2|   0
84   |    144.85|[MGH2010] J125937.99+275820.8        |G? |12 59 37.99 +27 58 20.8      |     ~|     ~|     ~|     ~|22.10 |~              |   1|   0
85   |    146.32|[EDG2007] 345                        |G  |12 59 40.76 +27 57 08.3      |22.561|20.525|19.227|18.652|17.906|~              |   1|   0
86   |    146.51|[MGH2010] J125937.68+275837.6        |G? |12 59 37.68 +27 58 37.6      |     ~|     ~|     ~|     ~|21.68 |~              |   1|   0
87   |    147.08|[EDG2007] 738                        |G  |12 59 51.42 +28 01 12.6      |20.615|20.416|19.555|19.156|18.565|~              |   2|   0
88   |    148.03|[ASD2005] 3                          |?  |12 59 37.9 +27 58 12         |     ~|15.52 |14.59 |     ~|     ~|~              |   2|   0
89   |    149.59|2XMM J125937.6+275921                |X  |12 59 37.66 +27 59 21.5      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
90   |    150.40|[CTM2010] 195768                     |G  |12 59 40.73 +27 57 02.9      |     ~|     ~|     ~|22.47 |21.82 |~              |   1|   0
91   |    150.45|[CTM2010] 1039715                    |G  |12 59 38.9392 +27 57 33.092  |     ~|     ~|     ~|22.65 |22.69 |~              |   1|   0
92   |    150.79|[SRW2012] Src. 6                     |UX?|12 59 39.8 +27 57 16         |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
93   |    150.84|[CTM2010] 122743                     |G  |12 59 42.27 +28 00 54.5      |     ~|21.98 |     ~|20.17 |20.19 |~              |   3|   0
94   |    151.87|[CTM2010] 183846                     |G  |12 59 59.97 +27 59 17.9      |     ~|     ~|     ~|20.07 |20.19 |~              |   1|   0
95   |    152.02|GMP 3027                             |G  |12 59 59.919 +27 59 22.02    |     ~|21.33 |20.47 |19.82 |19.24 |~              |   6|   0
96   |    153.05|[MGH2010] J125937.72+275802.4        |G? |12 59 37.72 +27 58 02.4      |     ~|     ~|     ~|     ~|23.95 |~              |   1|   0
97   |    153.49|LEDA 44644                           |GiC|12 59 39.656 +27 57 14.06    |16.97 |16.99 |15.59 |15.41 |14.99 |~              |  37|   0
98   |    154.10|[MGH2010] J125938.44+275737.4        |G? |12 59 38.44 +27 57 37.4      |     ~|     ~|     ~|     ~|23.61 |~              |   1|   0
99   |    154.34|[EDG2007] 623                        |G  |12 59 37.05 +27 58 47.6      |24.529|21.788|21.352|20.121|21.383|~              |   2|   0
100  |    154.57|[AGO2007] 211                        |PN?|12 59 46.50 +27 56 18.2      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
101  |    155.35|[MGH2010] J125940.39+275700.4        |G? |12 59 40.39 +27 57 00.4      |     ~|     ~|     ~|     ~|23.56 |~              |   1|   0
102  |    156.36|GMP 3308                             |G  |12 59 37.11 +27 58 20.4      |20.199|19.827|18.842|18.194|17.613|~              |   8|   0
103  |    156.74|2MASS J12595810+2757149              |*  |12 59 58.11 +27 57 15.0      |19.241|18.975|18.237|17.729|17.274|~              |   1|   0
104  |    156.89|[MGH2010] J125938.19+275737.7        |G? |12 59 38.19 +27 57 37.7      |     ~|     ~|     ~|     ~|22.94 |~              |   1|   0
105  |    156.93|[OSR2002] a033                       |G  |12 59 58.14 +27 57 15.2      |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
106  |    157.80|2MASS J12595924+2800032              |*  |12 59 59.25 +28 00 03.3      |16.457|16.624|16.121|15.784|15.416|~              |   1|   0
107  |    158.00|2MASS J12595625+2756477              |*  |12 59 56.26 +27 56 47.8      |22.891|21.887|19.782|18.756|17.234|~              |   1|   0
108  |    158.76|[MGH2010] J125936.83+275828.1        |G? |12 59 36.83 +27 58 28.1      |     ~|     ~|     ~|     ~|21.81 |~              |   1|   0
109  |    159.05|[MGH2010] J125939.14+275713.8        |G? |12 59 39.14 +27 57 13.8      |     ~|     ~|     ~|     ~|22.85 |~              |   1|   0
110  |    159.88|LEDA 44635                           |GiC|12 59 37.986 +28 00 03.64    |18.17 |18.097|16.98 |16.709|16.031|~              |  22|   0
111  |    160.06|[MGH2010] J125937.37+275754.4        |G? |12 59 37.37 +27 57 54.4      |     ~|     ~|     ~|     ~|24.00 |~              |   1|   0
112  |    160.32|[CTM2010] 1037801                    |G  |12 59 52.4817 +27 56 17.712  |     ~|     ~|     ~|21.17 |21.27 |~              |   1|   0
113  |    160.79|2MASS J12593660+2759042              |*  |12 59 36.61 +27 59 04.3      |25.757|22.076|19.759|18.29 |16.254|~              |   1|   0
114  |    161.08|[MGH2010] J125936.54+275851.4        |G? |12 59 36.54 +27 58 51.4      |     ~|     ~|     ~|     ~|24.01 |~              |   1|   0
115  |    161.45|[MGH2010] J125936.59+275908.3        |G? |12 59 36.59 +27 59 08.3      |     ~|     ~|     ~|     ~|22.94 |~              |   1|   0
116  |    161.59|[EDG2007] 619                        |G  |12 59 42.09 +27 56 34.2      |20.44 |20.083|19.57 |18.801|18.113|~              |   2|   0
117  |    164.11|[ANM98] -0.41+2.93                   |GiC|12 59 43.546 +27 56 20.77    |21.04 |20.57 |19.86 |19.08 |18.61 |~              |   8|   0
118  |    165.88|CAIRNS J130000.97+275929.7           |GiC|13 00 00.87 +27 59 29.1      |19.93 |19.666|18.693|18.102|17.54 |~              |  10|   0
119  |    166.71|[CTM2010] 250641                     |G  |12 59 44.01 +27 56 15.3      |     ~|     ~|     ~|21.54 |22.06 |~              |   1|   0
120  |    168.61|CAIRNS J125946.79+275603.3           |GiC|12 59 46.79 +27 56 03.3      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
121  |    169.21|[CG99] SA1656-3                      |G  |12 59 41.0 +27 56 35         |     ~|23.89 |     ~|     ~|     ~|~              |   1|   0
122  |    170.16|[UBM96] 2                            |G  |12 59 54.0 +27 56 15         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
123  |    170.25|EXSS 1257.3+2812                     |X  |12 59 48.0 +27 56 00         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
124  |    170.25|[MGH2010] J125937.45+275727.7        |G? |12 59 37.45 +27 57 27.7      |     ~|     ~|     ~|     ~|23.12 |~              |   1|   0
125  |    172.99|[MGH2010] J125935.88+275817.1        |G? |12 59 35.88 +27 58 17.1      |     ~|     ~|     ~|     ~|23.58 |~              |   1|   0
126  |    173.60|[CTM2010] 192636                     |G  |12 59 36.0394 +27 58 05.202  |     ~|     ~|     ~|21.67 |22.37 |~              |   2|   0
127  |    173.84|[CTM2010] 1038885                    |G  |12 59 38.62 +27 56 58.7      |     ~|     ~|     ~|21.36 |22.10 |~              |   2|   0
128  |    176.49|[MGH2010] J125937.20+275720.9        |G? |12 59 37.20 +27 57 20.9      |     ~|     ~|     ~|     ~|23.10 |~              |   1|   0
