C.D.S.  -  SIMBAD4 rel 1.6  -  2018.05.15CEST23:05:36

coord 12 59 48.7  +27 58 50 (ICRS, J2000, 2000), radius: 8 deg
--------------------------------------------------------------

Number of objects : 10000  (truncated to 10000 objects)

  #  |dist(asec)|             identifier              |typ|  coord1 (ICRS,J2000/2000)   |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
-----|----------|-------------------------------------|---|-----------------------------|------|------|------|------|------|---------------|----|----
5133 |   2479.56|[JCW2004] NGC 4839 344               |GlC|12 57 30.7 +27 30 59         |     ~|24.809|     ~|     ~|     ~|~              |   1|   0
5134 |   2479.80|[HHM2010] 194.26141+27.66357         |G  |12 57 02.740 +27 39 48.82    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5135 |   2479.81|[HHM2010] 194.87498+27.29518         |G  |12 59 29.998 +27 17 42.67    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5136 |   2479.97|[JCW2004] NGC 4839 347               |GlC|12 57 31.7 +27 30 44         |     ~|25.734|     ~|     ~|     ~|~              |   1|   0
5137 |   2480.06|[HHM2010] 194.74020+27.31791         |G  |12 58 57.652 +27 19 04.49    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5138 |   2480.13|GMP 4385                             |G  |12 58 13.52 +28 34 27.8      |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
5139 |   2480.38|[HHM2010] 194.74387+27.31691         |G  |12 58 58.532 +27 19 00.87    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5140 |   2480.55|[JCW2004] NGC 4839 341               |GlC|12 57 30.6 +27 30 59         |     ~|26.032|     ~|     ~|     ~|~              |   1|   0
5141 |   2480.63|[JCW2004] NGC 4839 349               |GlC|12 57 29.5 +27 31 15         |     ~|26.083|     ~|     ~|     ~|~              |   1|   0
5142 |   2480.65|[JCW2004] NGC 4839 345               |GlC|12 57 31.7 +27 30 43         |     ~|26.247|     ~|     ~|     ~|~              |   1|   0
5143 |   2480.69|[HHM2010] 194.75546+27.31404         |*  |12 59 01.313 +27 18 50.55    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5144 |   2481.26|[JCW2004] NGC 4839 350               |GlC|12 57 32.2 +27 30 35         |     ~|26.413|     ~|     ~|     ~|~              |   1|   0
5145 |   2481.60|[HHM2010] 194.33801+27.55731         |G  |12 57 21.120 +27 33 26.31    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5146 |   2482.10|[HHM2010] 194.82779+27.30005         |G  |12 59 18.676 +27 18 00.17    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5147 |   2482.13|[HHM2010] 194.84576+27.29763         |G  |12 59 22.985 +27 17 51.50    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5148 |   2482.37|[HHM2010] 194.79281+27.30576         |G  |12 59 10.275 +27 18 20.71    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5149 |   2482.77|[HHM2010] 194.57838+27.37589         |G  |12 58 18.814 +27 22 33.19    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5150 |   2482.81|GMP 1508                             |GiC|13 02 21.45 +28 22 54.1      |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
5151 |   2483.32|[JCW2004] NGC 4839 348               |GlC|12 57 32.2 +27 30 32         |     ~|26.223|     ~|     ~|     ~|~              |   1|   0
5152 |   2483.39|[K94] 125527.29+274235.7             |Rad|12 57 52.51 +27 26 24.1      |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
5153 |   2483.62|[HHM2010] 194.53673+27.39734         |G  |12 58 08.814 +27 23 50.42    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5154 |   2483.75|[HHM2010] 194.79656+27.30469         |G  |12 59 11.175 +27 18 16.82    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5155 |   2483.80|GMP 5269                             |G  |12 56 43.1 +28 04 51         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
5156 |   2484.31|[HHM2010] 194.43925+27.46147         |G  |12 57 45.417 +27 27 41.29    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5157 |   2484.42|[JCW2004] NGC 4839 336               |GlC|12 57 30.0 +27 31 02         |     ~|26.016|     ~|     ~|     ~|~              |   1|   0
5158 |   2484.47|[HHM2010] 194.63398+27.35087         |G  |12 58 32.160 +27 21 03.14    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5159 |   2484.47|[JCW2004] NGC 4839 335               |GlC|12 57 30.2 +27 30 59         |     ~|26.747|     ~|     ~|     ~|~              |   1|   0
5160 |   2484.63|[HHM2010] 194.68233+27.33333         |G  |12 58 43.763 +27 19 59.97    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5161 |   2484.91|GMP 5258                             |G  |12 56 45.52 +28 07 53.2      |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
5162 |   2484.95|[JCW2004] NGC 4839 351               |GlC|12 57 32.6 +27 30 24         |     ~|25.940|     ~|     ~|     ~|~              |   1|   0
5163 |   2485.13|[HHM2010] 194.39565+27.49761         |G  |12 57 34.953 +27 29 51.33    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5164 |   2485.25|[HHM2010] 194.53846+27.39585         |G  |12 58 09.228 +27 23 45.04    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5165 |   2485.58|[HHM2010] 194.64230+27.34729         |G  |12 58 34.155 +27 20 50.24    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5166 |   2485.75|[HHM2010] 194.63576+27.34978         |G  |12 58 32.585 +27 20 59.22    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5167 |   2485.78|[HHM2010] 194.77968+27.30733         |G  |12 59 07.127 +27 18 26.38    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5168 |   2486.03|[JCW2004] NGC 4839 332               |GlC|12 57 29.7 +27 31 04         |     ~|26.465|     ~|     ~|     ~|~              |   1|   0
5169 |   2486.17|[HHM2010] 194.78055+27.30704         |G  |12 59 07.335 +27 18 25.35    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5170 |   2486.60|[HHM2010] 194.72798+27.31919         |G  |12 58 54.719 +27 19 09.09    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5171 |   2486.71|[HHM2010] 194.77772+27.30746         |G  |12 59 06.657 +27 18 26.85    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5172 |   2487.18|[HHM2010] 194.80865+27.30160         |G  |12 59 14.082 +27 18 05.73    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5173 |   2487.30|GMP 2836                             |G  |13 00 14.8 +27 17 47         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
5174 |   2487.52|SDSS J130025.92+283928.4             |BiC|13 00 25.924 +28 39 28.47    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5175 |   2487.57|NGC 4842                             |G  |12 57 35.848 +27 29 35.85    |     ~|14.9  |     ~|     ~|     ~|~              |  49|   0
5176 |   2488.12|[HHM2010] 194.75877+27.31115         |*  |12 59 02.106 +27 18 40.14    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5177 |   2488.20|[JCW2004] NGC 4839 339               |GlC|12 57 28.4 +27 31 20         |     ~|26.025|     ~|     ~|     ~|~              |   1|   0
5178 |   2488.62|[HHM2010] 194.62327+27.35395         |G  |12 58 29.587 +27 21 14.20    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5179 |   2488.64|[JCW2004] NGC 4839 331               |GlC|12 57 31.3 +27 30 37         |     ~|25.788|     ~|     ~|     ~|~              |   1|   0
5180 |   2488.76|[HHM2010] 194.25629+27.66692         |G  |12 57 01.511 +27 40 00.88    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5181 |   2489.13|GMP 4444                             |G  |12 58 08.5 +28 33 58         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
5182 |   2489.15|[HHM2010] 194.27160+27.64155         |G  |12 57 05.184 +27 38 29.55    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5183 |   2489.19|[JCW2004] NGC 4839 342               |GlC|12 57 28.1 +27 31 23         |     ~|24.964|     ~|     ~|     ~|~              |   1|   0
5184 |   2489.67|[HHM2010] 194.62970+27.35101         |G  |12 58 31.130 +27 21 03.61    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5185 |   2489.71|GMP 5257                             |GiC|12 56 46.168 +27 49 03.93    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5186 |   2489.87|[JCW2004] NGC 4839 318               |GlC|12 57 30.2 +27 30 51         |     ~|26.178|     ~|     ~|     ~|~              |   1|   0
5187 |   2490.11|GMP 1315                             |G  |13 02 45.2 +28 13 14         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
5188 |   2490.17|GMP 2664                             |G  |13 00 27.1 +28 39 28         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
5189 |   2490.32|[JCW2004] NGC 4839 340               |GlC|12 57 32.4 +27 30 19         |     ~|25.688|     ~|     ~|     ~|~              |   1|   0
5190 |   2490.43|[JCW2004] NGC 4839 319               |GlC|12 57 29.8 +27 30 56         |     ~|26.716|     ~|     ~|     ~|~              |   1|   0
5191 |   2490.55|[JCW2004] NGC 4839 316               |GlC|12 57 30.2 +27 30 50         |     ~|25.934|     ~|     ~|     ~|~              |   1|   0
5192 |   2491.07|[HHM2010] 194.40300+27.48873         |G  |12 57 36.718 +27 29 19.42    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5193 |   2491.12|[HHM2010] 194.82586+27.29779         |G  |12 59 18.210 +27 17 52.05    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5194 |   2491.17|GMP 4737                             |G  |12 57 39.5 +28 29 04         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
5195 |   2491.23|2XMM J125713.1+273537                |G  |12 57 13.063 +27 35 36.95    |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
5196 |   2491.37|GMP 4550                             |G  |12 57 57.7 +28 32 24         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
5197 |   2491.47|[JCW2004] NGC 4839 313               |GlC|12 57 29.9 +27 30 53         |     ~|26.665|     ~|     ~|     ~|~              |   1|   0
5198 |   2491.48|[HHM2010] 194.38159+27.50802         |*  |12 57 31.579 +27 30 28.87    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5199 |   2491.51|[HHM2010] 194.33278+27.55879         |G  |12 57 19.865 +27 33 31.63    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5200 |   2491.63|[HHM2010] 194.43725+27.46032         |G  |12 57 44.937 +27 27 37.15    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5201 |   2491.98|[JCW2004] NGC 4839 307               |GlC|12 57 30.4 +27 30 45         |     ~|26.323|     ~|     ~|     ~|~              |   1|   0
5202 |   2491.98|[JCW2004] NGC 4839 310               |GlC|12 57 29.3 +27 31 01         |     ~|25.784|     ~|     ~|     ~|~              |   1|   0
5203 |   2491.99|[JCW2004] NGC 4839 330               |GlC|12 57 31.8 +27 30 25         |     ~|26.759|     ~|     ~|     ~|~              |   1|   0
5204 |   2492.34|[JCW2004] NGC 4839 321               |GlC|12 57 31.2 +27 30 33         |     ~|25.649|     ~|     ~|     ~|~              |   1|   0
5205 |   2492.62|GMP 5146                             |G  |12 56 59.6 +27 40 43         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
5206 |   2492.71|2MASX J12570259+2739248              |GiC|12 57 02.593 +27 39 24.85    |     ~|     ~|     ~|     ~|     ~|~              |   5|   0
5207 |   2492.82|[HHM2010] 194.58354+27.37024         |G  |12 58 20.052 +27 22 12.85    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5208 |   2493.25|[JCW2004] NGC 4839 317               |GlC|12 57 28.9 +27 31 05         |     ~|25.817|     ~|     ~|     ~|~              |   1|   0
5209 |   2493.26|[HHM2010] 194.28890+27.61360         |G  |12 57 09.338 +27 36 49.04    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5210 |   2493.35|[JCW2004] NGC 4839 337               |GlC|12 57 32.3 +27 30 16         |     ~|26.799|     ~|     ~|     ~|~              |   1|   0
5211 |   2493.56|[JCW2004] NGC 4839 303               |GlC|12 57 30.1 +27 30 47         |     ~|25.637|     ~|     ~|     ~|~              |   1|   0
5212 |   2493.61|[HHM2010] 194.26916+27.64285         |G  |12 57 04.600 +27 38 34.24    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5213 |   2493.79|2MASX J12572742+2826228              |GiC|12 57 27.429 +28 26 22.87    |     ~|     ~|     ~|     ~|     ~|~              |   4|   0
5214 |   2493.80|[JCW2004] NGC 4839 304               |GlC|12 57 29.8 +27 30 51         |     ~|25.957|     ~|     ~|     ~|~              |   1|   0
5215 |   2493.88|GMP 3913                             |G  |12 58 55.6 +27 18 58         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
5216 |   2493.89|GMP 5243                             |G  |12 56 47.3 +27 47 50         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
5217 |   2494.14|[HHM2010] 194.37552+27.51273         |G  |12 57 30.121 +27 30 45.84    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5218 |   2494.46|GMP 2657                             |G  |13 00 27.6 +28 39 31         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
5219 |   2494.56|[HHM2010] 194.33465+27.55526         |*  |12 57 20.315 +27 33 18.95    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5220 |   2494.69|[JCW2004] NGC 4839 301               |GlC|12 57 30.4 +27 30 41         |     ~|26.270|     ~|     ~|     ~|~              |   1|   0
5221 |   2494.77|[HHM2010] 194.60387+27.36032         |*  |12 58 24.933 +27 21 37.16    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5222 |   2495.17|[JCW2004] NGC 4839 325               |GlC|12 57 28.1 +27 31 14         |     ~|26.563|     ~|     ~|     ~|~              |   1|   0
5223 |   2495.51|[JCW2004] NGC 4839 320               |GlC|12 57 28.2 +27 31 12         |     ~|26.502|     ~|     ~|     ~|~              |   1|   0
5224 |   2495.80|OMHR J130146.74+283117.8             |Q? |13 01 46.81 +28 31 17.7      |     ~|     ~|20.00 |     ~|     ~|~              |   0|   0
5225 |   2495.99|[JCW2004] NGC 4839 322               |GlC|12 57 31.6 +27 30 22         |     ~|26.662|     ~|     ~|     ~|~              |   1|   0
5226 |   2496.11|TYC 1995-2016-1                      |*  |13 02 52.5041 +27 49 47.612  |     ~|12.82 |12.41 |     ~|     ~|~              |   0|   0
5227 |   2496.12|GMP 3014                             |G  |13 00 00.8 +28 40 21         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
5228 |   2496.15|[JCW2004] NGC 4839 308               |GlC|12 57 31.3 +27 30 26         |     ~|26.028|     ~|     ~|     ~|~              |   1|   0
5229 |   2496.27|[JCW2004] NGC 4839 298               |GlC|12 57 30.1 +27 30 43         |     ~|26.555|     ~|     ~|     ~|~              |   1|   0
5230 |   2496.33|[HHM2010] 194.67677+27.33169         |G  |12 58 42.429 +27 19 54.10    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5231 |   2496.39|[JCW2004] NGC 4839 324               |GlC|12 57 31.7 +27 30 20         |     ~|26.757|     ~|     ~|     ~|~              |   1|   0
5232 |   2496.60|[JCW2004] NGC 4839 300               |GlC|12 57 28.9 +27 31 00         |     ~|26.566|     ~|     ~|     ~|~              |   1|   0
5233 |   2496.87|Weis 61100                           |*  |13 00 50.0 +28 38 12         |     ~|15.55 |14.92 |     ~|     ~|~              |   0|   0
5234 |   2497.12|[HHM2010] 194.87687+27.29018         |G  |12 59 30.451 +27 17 24.68    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5235 |   2497.27|2MASS J13005683+2720026              |UV |13 00 56.84 +27 20 02.6      |     ~|18.40 |18.05 |17.800|     ~|~              |   0|   0
5236 |   2497.46|[HHM2010] 194.38950+27.49827         |*  |12 57 33.477 +27 29 53.78    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5237 |   2497.49|[JCW2004] NGC 4839 327               |GlC|12 57 31.8 +27 30 17         |     ~|26.037|     ~|     ~|     ~|~              |   1|   0
5238 |   2497.58|GMP 4722                             |G  |12 57 40.9 +28 29 30         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
5239 |   2497.64|[JCW2004] NGC 4839 338               |GlC|12 57 32.5 +27 30 07         |     ~|25.690|     ~|     ~|     ~|~              |   1|   0
5240 |   2497.77|[HHM2010] 194.33378+27.55481         |G  |12 57 20.105 +27 33 17.32    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5241 |   2498.12|GMP 1457                             |GiC|13 02 27.2 +27 36 22         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
5242 |   2498.49|[HHM2010] 194.43253+27.46148         |GiC|12 57 43.798 +27 27 41.34    |     ~|     ~|     ~|     ~|     ~|~              |   5|   0
5243 |   2499.16|[HHM2010] 194.31632+27.57474         |G  |12 57 15.914 +27 34 29.08    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5244 |   2499.29|[JCW2004] NGC 4839 309               |GlC|12 57 31.4 +27 30 20         |     ~|25.931|     ~|     ~|     ~|~              |   1|   0
5245 |   2499.80|GMP 1228                             |G  |13 02 55.5 +28 04 53         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
5246 |   2500.13|[JCW2004] NGC 4839 291               |GlC|12 57 30.4 +27 30 33         |     ~|26.630|     ~|     ~|     ~|~              |   1|   0
5247 |   2500.21|[HHM2010] 194.45465+27.44413         |G  |12 57 49.114 +27 26 38.87    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5248 |   2500.24|[HHM2010] 194.69755+27.32390         |G  |12 58 47.416 +27 19 26.07    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5249 |   2500.29|[HHM2010] 194.39228+27.49462         |G  |12 57 34.146 +27 29 40.62    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5250 |   2500.85|[HHM2010] 194.80207+27.29884         |G  |12 59 12.500 +27 17 55.85    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5251 |   2500.89|GMP 1789                             |G  |13 01 51.5 +28 30 33         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
5252 |   2501.04|[JCW2004] NGC 4839 285               |GlC|12 57 29.2 +27 30 49         |     ~|26.620|     ~|     ~|     ~|~              |   1|   0
5253 |   2501.09|[HHM2010] 194.69442+27.32462         |G  |12 58 46.663 +27 19 28.63    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5254 |   2501.24|[JCW2004] NGC 4839 284               |GlC|12 57 29.8 +27 30 40         |     ~|25.705|     ~|     ~|     ~|~              |   1|   0
5255 |   2501.35|[HHM2010] 194.40516+27.48286         |G  |12 57 37.237 +27 28 58.29    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5256 |   2502.02|[HHM2010] 194.64932+27.33965         |G  |12 58 35.838 +27 20 22.83    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5257 |   2502.41|GMP 1298                             |G  |13 02 46.6 +28 12 59         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
5258 |   2502.45|[JCW2004] NGC 4839 306               |GlC|12 57 31.5 +27 30 14         |     ~|25.377|     ~|     ~|     ~|~              |   1|   0
5259 |   2502.52|SDSSCGB 46049.4                      |G  |13 02 19.607 +27 33 49.60    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5260 |   2502.58|[HHM2010] 194.37522+27.50956         |G  |12 57 30.046 +27 30 34.47    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5261 |   2503.01|[JCW2004] NGC 4839 302               |GlC|12 57 31.3 +27 30 16         |     ~|25.786|     ~|     ~|     ~|~              |   1|   0
5262 |   2503.54|[JCW2004] NGC 4839 311               |GlC|12 57 31.6 +27 30 11         |     ~|26.437|     ~|     ~|     ~|~              |   1|   0
5263 |   2503.55|[HHM2010] 194.54234+27.38773         |G  |12 58 10.161 +27 23 15.84    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5264 |   2503.56|[JCW2004] NGC 4839 328               |GlC|12 57 32.1 +27 30 04         |     ~|26.512|     ~|     ~|     ~|~              |   1|   0
5265 |   2503.68|[JCW2004] NGC 4839 315               |GlC|12 57 31.8 +27 30 08         |     ~|26.344|     ~|     ~|     ~|~              |   1|   0
5266 |   2503.85|[HHM2010] 194.29460+27.60034         |G  |12 57 10.702 +27 36 01.23    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5267 |   2503.95|LEDA 126866                          |GiC|12 57 33.254 +27 29 47.52    |     ~|     ~|     ~|     ~|     ~|~              |   3|   0
5268 |   2504.09|CAIRNS J130024.80+283948.3           |EmG|13 00 24.80 +28 39 48.3      |     ~|20.82 |20.24 |     ~|     ~|~              |   4|   0
5269 |   2504.12|[JCW2004] NGC 4839 282               |GlC|12 57 30.2 +27 30 30         |     ~|25.466|     ~|     ~|     ~|~              |   1|   0
5270 |   2504.17|SDSSCGB 46049.2                      |G  |13 02 19.354 +27 33 42.40    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5271 |   2504.66|[JCW2004] NGC 4839 276               |GlC|12 57 28.9 +27 30 48         |     ~|25.564|     ~|     ~|     ~|~              |   1|   0
5272 |   2504.71|[JCW2004] NGC 4839 287               |GlC|12 57 30.7 +27 30 22         |     ~|25.917|     ~|     ~|     ~|~              |   1|   0
5273 |   2504.90|[HHM2010] 194.59517+27.36106         |G  |12 58 22.844 +27 21 39.82    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5274 |   2504.92|[JCW2004] NGC 4839 305               |GlC|12 57 31.6 +27 30 09         |     ~|25.448|     ~|     ~|     ~|~              |   1|   0
5275 |   2504.93|[HHM2010] 194.35318+27.53058         |G  |12 57 24.761 +27 31 50.10    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5276 |   2505.22|[JCW2004] NGC 4839 292               |GlC|12 57 31.0 +27 30 17         |     ~|25.603|     ~|     ~|     ~|~              |   1|   0
5277 |   2505.34|[JCW2004] NGC 4839 272               |GlC|12 57 28.9 +27 30 47         |     ~|26.240|     ~|     ~|     ~|~              |   1|   0
5278 |   2505.47|[HHM2010] 194.65226+27.33755         |G  |12 58 36.549 +27 20 15.16    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5279 |   2505.52|[JCW2004] NGC 4839 334               |GlC|12 57 26.2 +27 31 27         |     ~|26.807|     ~|     ~|     ~|~              |   1|   0
5280 |   2505.91|[JCW2004] NGC 4839 274               |GlC|12 57 28.5 +27 30 52         |     ~|26.959|     ~|     ~|     ~|~              |   1|   0
5281 |   2506.05|MCG+05-31-031                        |GiC|12 57 36.149 +27 29 05.85    |     ~|16.30 |     ~|     ~|     ~|~              |  30|   1
5282 |   2506.52|[HHM2010] 194.29877+27.59344         |G  |12 57 11.703 +27 35 36.39    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5283 |   2506.58|[JCW2004] NGC 4839 269               |GlC|12 57 29.6 +27 30 35         |     ~|26.547|     ~|     ~|     ~|~              |   1|   0
5284 |   2506.71|[JCW2004] NGC 4839 312               |GlC|12 57 31.7 +27 30 05         |     ~|26.189|     ~|     ~|     ~|~              |   1|   0
5285 |   2506.95|GMP 4576                             |GiC|12 57 56.7 +27 25 12         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
5286 |   2507.14|[HHM2010] 194.68074+27.32718         |G  |12 58 43.380 +27 19 37.86    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5287 |   2507.44|SDSS J125756.88+283236.0             |BiC|12 57 56.889 +28 32 36.09    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5288 |   2507.47|[HHM2010] 194.24986+27.66665         |G  |12 56 59.967 +27 39 59.91    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5289 |   2507.63|CAIRNS J125949.60+284038.0           |EmG|12 59 49.57 +28 40 37.6      |     ~|18.59 |18.04 |     ~|     ~|~              |   3|   0
5290 |   2508.08|GMP 4790                             |G  |12 57 34.7 +28 28 26         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
5291 |   2508.14|[HHM2010] 194.49221+27.41576         |G  |12 57 58.128 +27 24 56.71    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5292 |   2508.39|[HHM2010] 194.60498+27.35562         |*  |12 58 25.200 +27 21 20.21    |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
5293 |   2508.45|2XMMi J125755.8+272516               |X  |12 57 55.826 +27 25 18.73    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5294 |   2508.60|[HHM2010] 194.30711+27.58166         |G  |12 57 13.706 +27 34 53.97    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5295 |   2508.81|GMP 5027                             |G  |12 57 10.3 +28 21 51         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
5296 |   2508.84|[JCW2004] NGC 4839 268               |GlC|12 57 28.0 +27 30 55         |     ~|25.556|     ~|     ~|     ~|~              |   1|   0
5297 |   2508.84|IC 4111                              |GiC|13 02 56.594 +28 04 13.37    |     ~|15.7  |     ~|     ~|     ~|~              |  15|   0
5298 |   2508.87|[HHM2010] 194.32744+27.55703         |G  |12 57 18.583 +27 33 25.30    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5299 |   2508.92|[JCW2004] NGC 4839 299               |GlC|12 57 31.4 +27 30 06         |     ~|25.801|     ~|     ~|     ~|~              |   1|   0
5300 |   2508.97|[HHM2010] 194.64150+27.34052         |G  |12 58 33.963 +27 20 25.87    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5301 |   2509.27|[HHM2010] 194.76553+27.30357         |G  |12 59 03.734 +27 18 12.91    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5302 |   2509.44|GMP 2363                             |G  |13 00 57.7 +27 19 54         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
5303 |   2509.50|[JCW2004] NGC 4839 283               |GlC|12 57 30.7 +27 30 15         |     ~|26.719|     ~|     ~|     ~|~              |   1|   0
5304 |   2509.53|[HHM2010] 194.73909+27.30968         |G  |12 58 57.386 +27 18 34.87    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5305 |   2509.89|[JCW2004] NGC 4839 255               |GlC|12 57 29.4 +27 30 33         |     ~|26.904|     ~|     ~|     ~|~              |   1|   0
5306 |   2510.00|[JCW2004] NGC 4839 257               |GlC|12 57 28.7 +27 30 43         |     ~|26.095|     ~|     ~|     ~|~              |   1|   0
5307 |   2510.07|GMP 1462                             |G  |13 02 26.1 +27 35 38         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
5308 |   2510.21|[JCW2004] NGC 4839 259               |GlC|12 57 28.2 +27 30 50         |     ~|26.880|     ~|     ~|     ~|~              |   1|   0
5309 |   2510.23|GMP 1209                             |G  |13 02 58.13 +27 57 49.2      |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
5310 |   2510.40|SDSSCGB 20125.3                      |G  |13 02 48.483 +28 12 11.40    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5311 |   2510.45|GMP 1293                             |G  |13 02 47.3 +28 12 57         |     ~|     ~|     ~|     ~|     ~|~              |   0|   0
5312 |   2510.50|[HHM2010] 194.68956+27.32336         |G  |12 58 45.498 +27 19 24.11    |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
5313 |   2510.66|SDSSCGB 46049                        |CGG|13 02 20.0 +27 33 43         |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
