C.D.S.  -  SIMBAD4 rel 1.6  -  2018.05.13CEST19:32:07

*
-

Number of objects : 10000  (truncated to 10000 objects)

  #  |                 typed ident                  |                  identifier                  |typ|  coord1 (ICRS,J2000/2000)   |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib|#not
-----|----------------------------------------------|----------------------------------------------|---|-----------------------------|------|------|------|------|------|---------------------|----|----
80   |[MJ2006] J012515.5-000502.6                   |[MJ2006] J012515.5-000502.6                   |G  |01 25 15.5 -00 05 03         |     ~|     ~|     ~|19.8  |     ~|~                    |   1|   0
81   |[MJ2006] J041720.1-055639.6                   |[MJ2006] J041720.1-055639.6                   |G  |04 17 20.1 -05 56 40         |     ~|     ~|     ~|21.8  |     ~|~                    |   1|   0
82   |[TPB2006] knot B                              |[TPB2006] knot B                              |NIR|10 43 23.9 -59 33 53         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
83   |[MJ2006] J012541.8-000314.8                   |[MJ2006] J012541.8-000314.8                   |G  |01 25 41.8 -00 03 15         |     ~|     ~|     ~|18.6  |     ~|~                    |   1|   0
84   |[FDS2009] C-C2S                               |[FDS2009] C-C2S                               |cor|16 26 59.8 -24 34 13         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
85   |[MJ2006] J020151.3-113436.1                   |[MJ2006] J020151.3-113436.1                   |G  |02 01 51.3 -11 34 36         |     ~|     ~|     ~|20.5  |     ~|~                    |   1|   0
86   |[MJ2006] J214823.1+065659.1                   |[MJ2006] J214823.1+065659.1                   |G  |21 48 23.1 +06 56 59         |     ~|     ~|     ~|21.1  |     ~|~                    |   1|   0
87   |[MJ2006] J041659.6-055334.9                   |[MJ2006] J041659.6-055334.9                   |G  |04 16 59.6 -05 53 35         |     ~|     ~|     ~|19.0  |     ~|~                    |   1|   0
88   |[MCK2006] 47                                  |[DBL2010] M83-SNR-1-24                        |SR?|13 37 07.820 -29 52 41.69    |     ~|     ~|     ~|     ~|     ~|~                    |   3|   0
89   |[IBG2005] SDSS J0246-0825                     |[IBG2005] SDSS J0246-0825                     |gLS|02 46 34.09 -08 25 35.9      |     ~|     ~|     ~|     ~|     ~|~                    |   2|   0
90   |[ZS93] Arc                                    |[ZS93] Arc                                    |?  |No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
91   |[TPB2006] knot D                              |[TPB2006] knot D                              |NIR|10 43 26.9 -59 34 17         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
92   |[MJ2006] J041726.4-055104.5                   |[MJ2006] J041726.4-055104.5                   |G  |04 17 26.4 -05 51 04         |     ~|     ~|     ~|19.6  |     ~|~                    |   1|   0
93   |[ISS2013] galaxy                              |[ISS2013] galaxy                              |G  |08 49 32.9 +02 14 39         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
94   |FMF SE                                        |FMF SE                                        |PoC|No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
95   |[MJ2006] J012540.9-000936.1                   |[MJ2006] J012540.9-000936.1                   |G  |01 25 40.9 -00 09 36         |     ~|     ~|     ~|19.0  |     ~|~                    |   1|   0
96   |[MJ2006] J091929.1+510537.9                   |[MJ2006] J091929.1+510537.9                   |G  |09 19 29.1 +51 05 38         |     ~|     ~|     ~|20.5  |     ~|~                    |   1|   0
97   |[MJ2006] J041702.6-055605.2                   |[MJ2006] J041702.6-055605.2                   |G  |04 17 02.6 -05 56 05         |     ~|     ~|     ~|20.6  |     ~|~                    |   1|   0
98   |[MCK2006] 30                                  |[MCK2006] 30                                  |Rad|13 36 59.540 -29 51 26.32    |     ~|     ~|     ~|     ~|     ~|~                    |   2|   0
