C.D.S.  -  SIMBAD4 rel 1.6  -  2018.05.13CEST19:32:07

*
-

Number of objects : 10000  (truncated to 10000 objects)

  #  |                 typed ident                  |                  identifier                  |typ|  coord1 (ICRS,J2000/2000)   |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib|#not
-----|----------------------------------------------|----------------------------------------------|---|-----------------------------|------|------|------|------|------|---------------------|----|----
5208 |[RC2004] G286.4-1.3+39.9                      |[RC2004] G286.4-1.3+39.9                      |MoC|10 34 00.0 -59 42 00         |     ~|     ~|     ~|     ~|     ~|~                    |   2|   0
5209 |OCl  287                                      |OCl 287                                       |Cl*|02 47 30.0 +17 16 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5210 |[KC97c] G287.2-00.7                           |[KC97c] G287.2-00.7                           |HII|10 41 43.6 -59 34 23         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5211 |[TRC2001] 287.2+02.7                          |[TRC2001] 287.2+02.7                          |SR?|No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5212 |[KC97c] G287.4-00.6                           |[KC97c] G287.4-00.6                           |HII|10 43 32.2 -59 34 55         |     ~|     ~|     ~|     ~|     ~|~                    |   3|   0
5213 |[WMG70] 287.6-00.9                            |[WMG70] 287.6-00.9                            |HII|10 44 05.0 -59 58 06         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5214 |[BM2000] 0287.6+0405.0                        |[BM2000] 0287.6+0405.0                        |GiC|21 53 47.93 +17 44 49.1      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5215 |[KC97c] G287.8-00.8                           |[KC97c] G287.8-00.8                           |HII|10 45 39.6 -59 56 18         |     ~|     ~|     ~|     ~|     ~|~                    |   2|   0
5216 |[KC97c] G287.9-00.8                           |[KC97c] G287.9-00.8                           |HII|10 46 50.2 -60 00 31         |     ~|     ~|     ~|     ~|     ~|~                    |   2|   0
5217 |[RC2004] G289.0-0.3+27.5                      |[RC2004] G289.0-0.3+27.5                      |MoC|10 56 00.0 -60 00 00         |     ~|     ~|     ~|     ~|     ~|~                    |   2|   0
5218 |PLX  289.1                                    |Wolf 65                                       |PM*|01 25 28.33908 +12 09 20.5614|     ~|10.68 |10.30 | 9.4  | 8.7  |K8                   |   4|   0
5219 |[BM2000] 0289.3+0564.8                        |[BM2000] 0289.3+0564.8                        |GiC|21 53 31.41 +17 41 31.3      |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
5220 |[TRC2001] 289.4-02.5                          |[TRC2001] 289.4-02.5                          |SR?|No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5221 |[BM2000] 0289.6+1225.8                        |[BM2000] 0289.6+1225.8                        |GiC|21 53 31.68 +17 36 51.7      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5222 |[RC2004] G289.7-1.1+10.0                      |[RC2004] G289.7-1.1+10.0                      |MoC|10 59 00.0 -61 00 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5223 |[RC2004] G289.7-1.1+11.9                      |[RC2004] G289.7-1.1+11.9                      |MoC|10 59 00.0 -61 00 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5224 |[KC97c] G289.8-01.2                           |[KC97c] G289.8-01.2                           |HII|10 58 52.5 -61 06 53         |     ~|     ~|     ~|     ~|     ~|~                    |   4|   0
5225 |[RC2004] G290.4-0.8-1.9                       |[RC2004] G290.4-0.8-1.9                       |MoC|11 05 00.0 -61 06 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5226 |[RC2004] G290.4-0.8-8.3                       |[RC2004] G290.4-0.8-8.3                       |MoC|11 05 00.0 -61 06 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5227 |[RC2004] G290.4-0.8-10.6                      |[RC2004] G290.4-0.8-10.6                      |MoC|11 05 00.0 -61 06 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5228 |[RC2004] G290.4-0.8+20.4                      |[RC2004] G290.4-0.8+20.4                      |MoC|11 05 00.0 -61 06 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5229 |[TRC2001] 290.4+01.7                          |[TRC2001] 290.4+01.7                          |SR?|No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5230 |[RC2004] G290.6+0.2-18.1                      |[RC2004] G290.6+0.2-18.1                      |MoC|11 10 00.0 -60 12 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5231 |[RC2004] G290.6+0.2-35.1                      |[RC2004] G290.6+0.2-35.1                      |MoC|11 10 00.0 -60 12 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5232 |3C 291                                        |3C 291                                        |Rad|13 49 36.9 +21 07 32         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5233 |[BBC2005] 29.1                                |[BBC2005] 29.1                                |LeG|13 11 29.226 -01 20 58.06    |     ~|     ~|     ~|     ~|     ~|~                    |   4|   0
5234 |[WMG70] 291.0-00.1                            |[WMG70] 291.0-00.1                            |HII|11 11 56.0 -60 38 36         |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
5235 |[RC2004] G291.0-0.8+14.9                      |[RC2004] G291.0-0.8+14.9                      |MoC|11 09 00.0 -61 18 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5236 |[TRC2001] 291.1+01.7                          |[TRC2001] 291.1+01.7                          |SR?|No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5237 |[RC2004] G291.2-0.3-6.5                       |[RC2004] G291.2-0.3-6.5                       |MoC|11 13 00.0 -60 54 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5238 |[RC2004] G291.2-0.3+12.4                      |[RC2004] G291.2-0.3+12.4                      |MoC|11 13 00.0 -60 54 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5239 |[RC2004] G291.4-0.1-5.1                       |[RC2004] G291.4-0.1-5.1                       |MoC|11 15 00.0 -60 48 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5240 |[RC2004] G291.4-0.1-6.7                       |[RC2004] G291.4-0.1-6.7                       |MoC|11 15 00.0 -60 48 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5241 |[RC2004] G291.4-0.1-7.5                       |[RC2004] G291.4-0.1-7.5                       |MoC|11 15 00.0 -60 48 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5242 |[RC2004] G291.4-0.1-8.2                       |[RC2004] G291.4-0.1-8.2                       |MoC|11 15 00.0 -60 48 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5243 |[RC2004] G291.8-0.6+30.0                      |[RC2004] G291.8-0.6+30.0                      |MoC|11 16 00.0 -61 24 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5244 |[KC97c] G291.9-00.7                           |[KC97c] G291.9-00.7                           |HII|11 16 33.9 -61 29 43         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5245 |[RC2004] G291.9-0.9+0.2                       |[RC2004] G291.9-0.9+0.2                       |MoC|11 16 00.0 -61 42 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5246 |[RC2004] G291.9-0.9-2.0                       |[RC2004] G291.9-0.9-2.0                       |MoC|11 16 00.0 -61 42 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5247 |[BBC2005] 29.2                                |[BBC2005] 29.2                                |LeG|13 11 30.022 -01 19 34.20    |     ~|     ~|     ~|     ~|     ~|~                    |   4|   0
5248 |[KC97c] G292.0+01.7                           |[KC97c] G292.0+01.7                           |HII|11 24 17.8 -59 15 53         |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
5249 |[TRC2001] 292.7-01.6                          |[TRC2001] 292.7-01.6                          |SR?|No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5250 |[BM2000] 0292.7+0152.6                        |[BM2000] 0292.7+0152.6                        |GiC|21 53 48.23 +17 39 36.7      |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
5251 |[BBC2005] 29.3                                |[BBC2005] 29.3                                |LeG|13 11 32.177 -01 19 52.89    |     ~|     ~|     ~|     ~|     ~|~                    |   5|   0
5252 |[RC2004] G293.0-1.0-7.6                       |[RC2004] G293.0-1.0-7.6                       |MoC|11 25 00.0 -62 12 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5253 |[RC2004] G293.0-1.0-22.9                      |[RC2004] G293.0-1.0-22.9                      |MoC|11 25 00.0 -62 12 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5254 |[RC2004] G293.0-1.0-23.8                      |[RC2004] G293.0-1.0-23.8                      |MoC|11 25 00.0 -62 12 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5255 |[RC2004] G293.0-1.0-25.3                      |[RC2004] G293.0-1.0-25.3                      |MoC|11 25 00.0 -62 12 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5256 |[RC2004] G293.0-1.0+70.5                      |[RC2004] G293.0-1.0+70.5                      |MoC|11 25 00.0 -62 12 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5257 |3C 293.1                                      |3C 293.1                                      |rG |13 54 40.97 +16 14 50.1      |     ~|22    |     ~|     ~|     ~|~                    |   6|   1
5258 |[LVS2006] GRB 060607 abs 2.937                |[LVS2006] GRB 060607 abs 2.937                |ALS|05 59 51.9 +75 14 56         |     ~|     ~|     ~|     ~|     ~|~                    |   2|   0
5259 |[BBC2005] 29.4                                |[BBC2005] 29.4                                |LeG|13 11 33.626 -01 20 20.64    |     ~|     ~|     ~|     ~|     ~|~                    |   4|   0
5260 |[BM2000] 0294.1+0905.0                        |[BM2000] 0294.1+0905.0                        |GiC|21 54 24.67 +17 42 54.3      |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
5261 |[TRC2001] 294.3-03.5                          |[TRC2001] 294.3-03.5                          |SR?|No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5262 |[SHS2001] QSO J1229+0203 abs 0.02947          |[SHS2001] QSO J1229+0203 abs 0.02947          |ALS|12 29 06.6997 +02 03 08.598  |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5263 |[BBC2005] 29.5                                |[BBC2005] 29.5                                |LeI|13 11 29.7297 -01 20 36.603  |     ~|     ~|     ~|     ~|     ~|~                    |   2|   0
5264 |[RC2004] G295.1-0.6-5.2                       |[RC2004] G295.1-0.6-5.2                       |MoC|11 43 00.0 -62 24 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5265 |[RC2004] G295.1-0.6+28.4                      |[RC2004] G295.1-0.6+28.4                      |MoC|11 43 00.0 -62 24 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5266 |[WMG70] 295.2-00.6                            |[WMG70] 295.2-00.6                            |HII|11 43 29.0 -62 25 54         |     ~|     ~|     ~|     ~|     ~|~                    |   3|   0
5267 |[BM2000] 0295.4+1299.0                        |[BM2000] 0295.4+1299.0                        |GiC|21 53 15.36 +17 36 43.1      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5268 |[BM2000] 0295.6+0494.7                        |[BM2000] 0295.6+0494.7                        |GiC|21 52 38.22 +17 43 34.9      |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
5269 |[RC2004] G295.7-0.2-15.2                      |[RC2004] G295.7-0.2-15.2                      |MoC|11 49 00.0 -62 12 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5270 |[RC2004] G296.5-0.9+17.0                      |[RC2004] G296.5-0.9+17.0                      |MoC|11 54 00.0 -63 06 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5271 |[RC2004] G297.1-1.3+21.3                      |[RC2004] G297.1-1.3+21.3                      |MoC|11 59 00.0 -63 36 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5272 |[BM2000] 0297.1+0084.6                        |[BM2000] 0297.1+0084.6                        |GiC|21 54 40.95 +17 45 00.9      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5273 |[EIP2004] QSO J0831+5245 abs 2.974            |[EIP2004] QSO J0831+5245 abs 2.974            |DLA|08 31 41.70 +52 45 17.3      |     ~|     ~|     ~|     ~|     ~|~                    |   7|   0
5274 |[RC2004] G297.5-0.3+16.3                      |[RC2004] G297.5-0.3+16.3                      |MoC|12 04 00.0 -62 42 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5275 |[RC2004] G297.5-0.7+31.4                      |[RC2004] G297.5-0.7+31.4                      |MoC|12 03 00.0 -63 06 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5276 |[RC2004] G297.5-0.7-35.0                      |[RC2004] G297.5-0.7-35.0                      |MoC|12 03 00.0 -63 06 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5277 |[RC2004] G297.5-0.7+37.3                      |[RC2004] G297.5-0.7+37.3                      |MoC|12 03 00.0 -63 06 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5278 |[RC2004] G297.6-0.9+30.3                      |[RC2004] G297.6-0.9+30.3                      |MoC|12 04 00.0 -63 18 00         |     ~|     ~|     ~|     ~|     ~|~                    |   2|   0
5279 |[BM2000] 0297.7+0364.5                        |[BM2000] 0297.7+0364.5                        |GiC|21 53 15.54 +17 39 08.7      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5280 |[RC2004] G297.9-1.2+31.3                      |[RC2004] G297.9-1.2+31.3                      |MoC|12 06 00.0 -63 36 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5281 |[RC2004] G298.1-0.8+23.4                      |[RC2004] G298.1-0.8+23.4                      |MoC|12 08 00.0 -63 18 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5282 |[RC2004] G298.4-0.3-37.2                      |[RC2004] G298.4-0.3-37.2                      |MoC|12 12 00.0 -62 48 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5283 |[RC2004] G298.5-0.1+18.9                      |[RC2004] G298.5-0.1+18.9                      |MoC|12 13 00.0 -62 36 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5284 |[TRC2001] 298.5+02.2                          |[TRC2001] 298.5+02.2                          |SR?|No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5285 |[BM2000] 0298.5+0581.2                        |[BM2000] 0298.5+0581.2                        |GiC|21 52 22.00 +17 43 24.2      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5286 |[RC2004] G299.0+0.1+10.1                      |[RC2004] G299.0+0.1+10.1                      |MoC|12 17 00.0 -62 30 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5287 |[RC2004] G299.0+0.1-21.6                      |[RC2004] G299.0+0.1-21.6                      |MoC|12 17 00.0 -62 30 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5288 |[RC2004] G299.0+0.1+23.8                      |[RC2004] G299.0+0.1+23.8                      |MoC|12 17 00.0 -62 30 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5289 |[RC2004] G299.0+0.1+24.1                      |[RC2004] G299.0+0.1+24.1                      |MoC|12 17 00.0 -62 30 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5290 |[RC2004] G299.0+0.1-31.8                      |[RC2004] G299.0+0.1-31.8                      |MoC|12 17 00.0 -62 30 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5291 |[RC2004] G299.0+0.1+45.4                      |[RC2004] G299.0+0.1+45.4                      |MoC|12 17 00.0 -62 30 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5292 |[RC2004] G299.0+0.1-79.2                      |[RC2004] G299.0+0.1-79.2                      |MoC|12 17 00.0 -62 30 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5293 |[TRC2001] 299.2-01.5                          |[TRC2001] 299.2-01.5                          |SR?|No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5294 |[MSM95] G29.92 FIR  2                         |[MSM95] G29.92 FIR 2                          |PoC|18 46 09.4 -02 41 22         |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
5295 |[MSM95] G29.92 FIR  3                         |[MSM95] G29.92 FIR 3                          |PoC|18 46 11.5 -02 41 59         |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
5296 |[RC2004] G299.3-0.2-6.8                       |[RC2004] G299.3-0.2-6.8                       |MoC|12 20 00.0 -62 48 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5297 |[RC2004] G299.3-0.2-21.7                      |[RC2004] G299.3-0.2-21.7                      |MoC|12 20 00.0 -62 48 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5298 |[RC2004] G299.3-0.2-39.7                      |[RC2004] G299.3-0.2-39.7                      |MoC|12 20 00.0 -62 48 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5299 |[MSM95] G29.96 FIR  1                         |[MSM95] G29.96 FIR 1                          |PoC|18 46 04.3 -02 39 24         |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
5300 |[TSW99]    3.000                              |[TSW99] 3.000                                 |G  |12 36 40.99 +62 12 14.2      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5301 |[BM2000] 0300.1+0546.1                        |[BM2000] 0300.1+0546.1                        |GiC|21 53 31.86 +17 44 30.3      |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
5302 |[RC2004] G300.5-0.2+8.7                       |[RC2004] G300.5-0.2+8.7                       |MoC|12 30 00.0 -63 00 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5303 |[RC2004] G300.5-0.2+26.9                      |[RC2004] G300.5-0.2+26.9                      |MoC|12 30 00.0 -63 00 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5304 |[RC2004] G300.5-0.2+31.8                      |[RC2004] G300.5-0.2+31.8                      |MoC|12 30 00.0 -63 00 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5305 |[RC2004] G300.6+1.1-33.4                      |[RC2004] G300.6+1.1-33.4                      |MoC|12 32 00.0 -61 42 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5306 |[RC2004] G300.6+1.1-48.7                      |[RC2004] G300.6+1.1-48.7                      |MoC|12 32 00.0 -61 42 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5307 |[BBC2005] 30.1                                |[BBC2005] 30.1                                |LeG|13 11 32.420 -01 19 19.80    |     ~|     ~|     ~|     ~|     ~|~                    |   4|   0
5308 |[RC2004] G301.0+1.2-33.6                      |[RC2004] G301.0+1.2-33.6                      |MoC|12 35 00.0 -61 36 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5309 |[RC2004] G301.0+1.2-43.1                      |[RC2004] G301.0+1.2-43.1                      |MoC|12 35 00.0 -61 36 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5310 |[KC97c] G301.1+01.0                           |[KC97c] G301.1+01.0                           |HII|12 36 03.3 -61 51 20         |     ~|     ~|     ~|     ~|     ~|~                    |   3|   0
5311 |[RC2004] G301.1+1.0-35.5                      |[RC2004] G301.1+1.0-35.5                      |MoC|12 36 00.0 -61 48 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5312 |[RC2004] G301.1+1.0-40.0                      |[RC2004] G301.1+1.0-40.0                      |MoC|12 36 00.0 -61 48 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5313 |[BM2000] 0301.2+0284.6                        |[BM2000] 0301.2+0284.6                        |GiC|21 54 57.08 +17 44 16.7      |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
5314 |[RC2004] G301.8+1.0-25.9                      |[RC2004] G301.8+1.0-25.9                      |MoC|12 42 00.0 -61 54 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5315 |[RC2004] G301.8+1.0-39.3                      |[RC2004] G301.8+1.0-39.3                      |MoC|12 42 00.0 -61 54 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5316 |[BBC2005] 30.2                                |[BBC2005] 30.2                                |LeG|13 11 33.185 -01 19 26.07    |     ~|     ~|     ~|     ~|     ~|~                    |   4|   0
5317 |3C 302                                        |3C 302                                        |Rad|14 37 24.0 +26 10 00         |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
5318 |[RC2004] G302.0+0.0-34.0                      |[RC2004] G302.0+0.0-34.0                      |MoC|12 43 00.0 -62 54 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5319 |[RC2004] G302.0+0.0-35.9                      |[RC2004] G302.0+0.0-35.9                      |MoC|12 43 00.0 -62 54 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5320 |[RC2004] G302.1-0.1+0.3                       |[RC2004] G302.1-0.1+0.3                       |MoC|12 44 00.0 -63 00 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5321 |[RC2004] G302.1-0.1+0.9                       |[RC2004] G302.1-0.1+0.9                       |MoC|12 44 00.0 -63 00 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5322 |[RC2004] G302.1-0.1+1.9                       |[RC2004] G302.1-0.1+1.9                       |MoC|12 44 00.0 -63 00 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5323 |[RC2004] G302.1-0.1+24.9                      |[RC2004] G302.1-0.1+24.9                      |MoC|12 44 00.0 -63 00 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5324 |[RC2004] G302.1-0.1-27.0                      |[RC2004] G302.1-0.1-27.0                      |MoC|12 44 00.0 -63 00 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5325 |[RC2004] G302.1-0.1-34.9                      |[RC2004] G302.1-0.1-34.9                      |MoC|12 44 00.0 -63 00 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5326 |[RC2004] G302.1+0.3-0.2                       |[RC2004] G302.1+0.3-0.2                       |MoC|12 44 00.0 -62 36 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5327 |[RC2004] G302.1+0.3-2.4                       |[RC2004] G302.1+0.3-2.4                       |MoC|12 44 00.0 -62 36 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5328 |[RC2004] G302.1+0.3-20.5                      |[RC2004] G302.1+0.3-20.5                      |MoC|12 44 00.0 -62 36 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5329 |[RC2004] G302.1+0.3-35.7                      |[RC2004] G302.1+0.3-35.7                      |MoC|12 44 00.0 -62 36 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5330 |[RC2004] G302.1+0.3-44.6                      |[RC2004] G302.1+0.3-44.6                      |MoC|12 44 00.0 -62 36 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5331 |[THP2002] DF +30.23-0.20                      |[THP2002] DF +30.23-0.20                      |DNe|18 47 13.16 -02 29 44.7      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5332 |[RC2004] G302.5+0.0+1.6                       |[RC2004] G302.5+0.0+1.6                       |MoC|12 48 00.0 -62 54 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5333 |[RC2004] G302.5+0.0-28.6                      |[RC2004] G302.5+0.0-28.6                      |MoC|12 48 00.0 -62 54 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5334 |[RC2004] G302.5+0.0-28.7                      |[RC2004] G302.5+0.0-28.7                      |MoC|12 48 00.0 -62 54 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5335 |[RC2004] G302.5+0.0-35.1                      |[RC2004] G302.5+0.0-35.1                      |MoC|12 48 00.0 -62 54 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5336 |[KC97c] G302.5-00.7                           |[KC97c] G302.5-00.7                           |HII|12 47 35.1 -63 37 03         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5337 |[RC2004] G302.6+0.2-40.3                      |[RC2004] G302.6+0.2-40.3                      |MoC|12 49 00.0 -62 42 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5338 |[RC2004] G302.8+1.3-0.3                       |[RC2004] G302.8+1.3-0.3                       |MoC|12 50 00.0 -61 36 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5339 |[RC2004] G302.8+1.3-2.9                       |[RC2004] G302.8+1.3-2.9                       |MoC|12 50 00.0 -61 36 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5340 |[RC2004] G302.8+1.3-3.1                       |[RC2004] G302.8+1.3-3.1                       |MoC|12 50 00.0 -61 36 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5341 |[RC2004] G302.8+1.3-30.8                      |[RC2004] G302.8+1.3-30.8                      |MoC|12 50 00.0 -61 36 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5342 |[RC2004] G302.8+1.3-37.6                      |[RC2004] G302.8+1.3-37.6                      |MoC|12 50 00.0 -61 36 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5343 |[RC2004] G302.8+1.3-46.2                      |[RC2004] G302.8+1.3-46.2                      |MoC|12 50 00.0 -61 36 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5344 |[BM2000] 0302.8+0437.2                        |[BM2000] 0302.8+0437.2                        |GiC|21 54 57.07 +17 43 53.0      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5345 |[BBC2005] 30.3                                |[BBC2005] 30.3                                |LeG|13 11 33.662 -01 19 32.73    |     ~|     ~|     ~|     ~|     ~|~                    |   4|   0
5346 |[TRC2001] 303.0-05.8                          |[TRC2001] 303.0-05.8                          |SR?|No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5347 |[THP2002] DF +30.31-0.28                      |[THP2002] DF +30.31-0.28                      |DNe|18 47 39.03 -02 27 39.8      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5348 |[TRC2001] 303.5+00.0                          |[TRC2001] 303.5+00.0                          |SR?|No Coord.                    |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5349 |[RC2004] G303.5-0.7+4.0                       |[RC2004] G303.5-0.7+4.0                       |MoC|12 57 00.0 -63 36 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5350 |[RC2004] G303.5-0.7+21.3                      |[RC2004] G303.5-0.7+21.3                      |MoC|12 57 00.0 -63 36 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5351 |[RC2004] G303.5-0.7+24.5                      |[RC2004] G303.5-0.7+24.5                      |MoC|12 57 00.0 -63 36 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5352 |[RC2004] G303.5-0.7+28.5                      |[RC2004] G303.5-0.7+28.5                      |MoC|12 57 00.0 -63 36 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5353 |[THP2002] DF +30.36+0.11                      |[THP2002] DF +30.36+0.11                      |DNe|18 46 21.16 -02 14 19.0      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5354 |[THP2002] DF +30.36-0.27                      |[THP2002] DF +30.36-0.27                      |DNe|18 47 42.37 -02 24 43.2      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
5355 |[CB98] 303.8+6.0                              |[CB98] 303.8+6.0                              |HI |12 58 00.0 -56 54 00         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
