[WTM2001] BCG                                 23.7733 0.733056
[BM2000] 0384.1+0139.8                        21.9072 17.7481
[BM2000] 0384.3+0597.1                        21.8685 17.7236
[BM2000] 0384.3+1002.3                        21.8924 17.7219
[BM2000] 0385.0+0108.2                        21.8775 17.6916
[BM2000] 0390.4+0473.4                        21.8925 17.6469
[BM2000] 0390.7+0466.6                        21.8686 17.6771
[BM2000] 0391.7+0284.1                        21.8925 17.7531
[BM2000] 0396.2+0749.7                        21.9161 17.7179
[BM2000] 0396.3+1029.1                        21.897 17.6221
[BM2000] 0398.0+0958.9                        21.897 17.6252
[BM2000] 0399.6+0178.2                        21.8776 17.7401
[BM2000] 0404.9+1092.5                        21.897 17.7171
[BM2000] 0407.4+1052.8                        21.8879 17.6226
[BM2000] 0409.8+0836.7                        21.9072 17.718
[BM2000] 0409.8+1230.0                        21.8685 17.6962
[BM2000] 0410.9+0082.6                        21.8776 17.6927
[BM2000] 0411.4+0411.2                        21.897 17.6977
[BM2000] 0412.0+0195.1                        21.8971 17.6583
[BM2000] 0414.6+0355.0                        21.8924 17.7009
[BM2000] 0418.7+0794.6                        21.8731 17.7141
[BM2000] 0420.8+0077.8                        21.8925 17.7125
[BM2000] 0422.1+0968.1                        21.8971 17.6248
[BM2000] 0424.8+1142.9                        21.9117 17.7041
[BM2000] 0426.2+0420.8                        21.9162 17.732
[BM2000] 0426.6+0174.8                        21.8777 17.6887
[BM2000] 0426.7+0283.9                        21.8687 17.6849
[BM2000] 0429.6+1149.5                        21.8971 17.7146
[BM2000] 0429.9+0533.1                        21.9162 17.7272
[BM2000] 0434.2+0588.8                        21.8777 17.6707
[BM2000] 0435.8+0690.9                        21.897 17.6856
[BM2000] 0436.3+0756.2                        21.8732 17.6639
[BM2000] 0437.2+0500.3                        21.897 17.6938
[BM2000] 0438.4+0540.8                        21.9162 17.6779
[BM2000] 0438.5+0467.2                        21.8732 17.6764
[BM2000] 0440.5+0396.8                        21.8925 17.6991
[BM2000] 0441.8+1051.1                        21.9117 17.6565
[BM2000] 0444.9+0353.4                        21.8971 17.7002
[BM2000] 0448.4+0396.6                        21.8971 17.6983
[BM2000] 0448.5+0189.1                        21.9118 17.7457
[BM2000] 0450.5+0086.6                        21.8926 17.7121
[BM2000] 0450.6+1265.2                        21.8881 17.6133
[BM2000] 0451.2+0392.9                        21.8881 17.6511
[BM2000] 0454.8+0597.2                        21.8688 17.6714
[BM2000] 0456.7+0213.4                        21.8927 17.6582
[BM2000] 0459.1+1006.2                        21.9118 17.6584
[BM2000] 0460.0+0404.0                        21.8971 17.698
[BM2000] 0461.9+0642.3                        21.9163 17.6735
[BM2000] 0462.6+0043.7                        21.8778 17.7459
[BM2000] 0463.7+0302.9                        21.8688 17.6841
[BM2000] 0464.8+1208.7                        21.9118 17.6497
[BM2000] 0467.1+0479.3                        21.8971 17.6947
[BM2000] 0468.1+1030.9                        21.8972 17.622
[BM2000] 0470.8+0824.7                        21.8926 17.6805
[BM2000] 0472.3+1123.4                        21.8972 17.618
[BM2000] 0472.9+0591.7                        21.8688 17.7238
[BM2000] 0474.7+0641.3                        21.8927 17.6396
[BM2000] 0476.6+0850.7                        21.8927 17.6305
[BM2000] 0479.0+0977.3                        21.9074 17.7119
